pool	0	0	0	0.02	0.01	0.01	0.02	0.08	0.1	0.12	0.19	0.27	0.34	0.36	0.44	0.46	0.57	0.63	0.73	0.73	0.85	0.75	0.86
hello	0	0.02	0.01	0.08	0.05	0.11	0.17	0.21	0.33	0.48	0.5	0.58	0.64	0.67	0.75	0.79	0.74	0.75	0.78	0.76	0.82	0.85	0.88
grandpa*	0.01	0.02	0.06	0.05	0.08	0.15	0.15	0.22	0.34	0.39	0.54	0.58	0.61	0.67	0.76	0.79	0.79	0.86	0.88	0.85	0.93	0.9	0.94
uh oh	0.03	0.08	0.13	0.23	0.35	0.45	0.52	0.6	0.76	0.78	0.87	0.9	0.89	0.89	0.9	0.93	0.94	0.94	0.95	0.93	0.98	0.94	0.96
does									0	0	0.01	0.02	0.03	0.04	0.07	0.09	0.09	0.18	0.19	0.28	0.35	0.36	0.4
fish (food)	0	0	0	0	0.01	0.04	0.04	0.1	0.15	0.19	0.31	0.39	0.42	0.46	0.56	0.6	0.65	0.68	0.76	0.74	0.87	0.81	0.89
bathroom	0	0	0	0	0	0.01	0.02	0.07	0.04	0.06	0.16	0.23	0.28	0.34	0.49	0.54	0.59	0.67	0.72	0.73	0.88	0.83	0.92
party	0	0	0	0	0	0	0	0.02	0.01	0.01	0.07	0.09	0.12	0.16	0.23	0.32	0.44	0.5	0.58	0.55	0.76	0.68	0.77
box	0	0	0	0.01	0.01	0.02	0.03	0.12	0.12	0.17	0.28	0.37	0.39	0.44	0.55	0.61	0.65	0.72	0.76	0.83	0.88	0.85	0.92
belt									0.04	0.04	0.12	0.18	0.2	0.23	0.28	0.36	0.42	0.47	0.54	0.56	0.71	0.59	0.76
refrigerator	0	0	0	0	0	0	0	0.03	0.02	0.04	0.07	0.16	0.16	0.18	0.27	0.31	0.42	0.5	0.59	0.58	0.79	0.66	0.81
dranked									0	0	0	0.01	0	0	0.01	0.01	0.02	0.02	0.05	0.05	0.05	0.03	0.06
TV	0.01	0	0	0.01	0	0.02	0.06	0.11	0.1	0.15	0.31	0.38	0.42	0.49	0.63	0.64	0.73	0.78	0.83	0.82	0.95	0.89	0.93
bat									0.06	0.07	0.13	0.19	0.17	0.24	0.29	0.38	0.41	0.48	0.54	0.52	0.76	0.62	0.71
fast	0	0	0	0	0	0	0	0.03	0.02	0.04	0.05	0.12	0.15	0.19	0.3	0.36	0.41	0.5	0.59	0.59	0.75	0.67	0.83
person	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.04	0.03	0.05	0.06	0.11	0.14	0.19	0.21	0.29	0.25	0.33
ant									0.05	0.07	0.16	0.2	0.26	0.25	0.34	0.44	0.49	0.55	0.65	0.66	0.79	0.7	0.84
penny	0	0	0	0.01	0	0	0.01	0.03	0.02	0.03	0.08	0.1	0.13	0.18	0.27	0.31	0.36	0.45	0.54	0.55	0.67	0.61	0.7
pants	0	0	0	0.01	0	0.01	0.01	0.09	0.07	0.11	0.24	0.33	0.36	0.48	0.58	0.66	0.69	0.74	0.78	0.86	0.92	0.89	0.97
tooths									0	0.01	0.01	0.03	0.01	0.01	0.03	0.02	0.05	0.03	0.04	0.06	0.08	0.07	0.08
his	0	0	0	0	0	0	0	0.01	0	0	0	0.02	0.03	0.05	0.08	0.12	0.12	0.21	0.25	0.3	0.4	0.38	0.5
why	0	0	0	0.01	0	0	0.02	0.03	0.02	0.03	0.07	0.1	0.11	0.13	0.23	0.29	0.27	0.32	0.49	0.49	0.56	0.56	0.69
orange (food)	0	0	0	0.01	0	0.01	0.05	0.11	0.07	0.11	0.22	0.32	0.34	0.41	0.53	0.61	0.62	0.66	0.79	0.78	0.9	0.87	0.94
underpants									0.01	0.01	0.04	0.08	0.09	0.12	0.17	0.21	0.26	0.34	0.48	0.49	0.61	0.58	0.71
mittens									0.03	0.02	0.1	0.11	0.16	0.2	0.22	0.27	0.36	0.38	0.43	0.5	0.55	0.55	0.63
around									0.01	0.01	0.02	0.03	0.05	0.04	0.08	0.17	0.17	0.28	0.32	0.29	0.45	0.41	0.51
towel	0	0	0	0.01	0.01	0.01	0	0.09	0.06	0.09	0.2	0.26	0.29	0.38	0.49	0.56	0.62	0.7	0.73	0.75	0.91	0.8	0.92
high									0.01	0.01	0.06	0.08	0.14	0.16	0.26	0.3	0.37	0.48	0.48	0.53	0.69	0.64	0.8
sat									0	0.01	0.03	0.02	0.03	0.01	0.07	0.07	0.11	0.12	0.22	0.21	0.36	0.23	0.37
clap									0.07	0.12	0.21	0.29	0.32	0.31	0.49	0.51	0.59	0.64	0.68	0.67	0.82	0.75	0.86
drinked									0	0.01	0	0.01	0.03	0.02	0.05	0.04	0.07	0.06	0.14	0.11	0.13	0.11	0.18
bed	0.01	0	0	0.01	0.01	0.02	0.04	0.15	0.11	0.21	0.37	0.43	0.53	0.59	0.68	0.79	0.81	0.85	0.84	0.91	0.96	0.91	0.97
backyard	0	0	0	0	0.01	0	0	0.03	0.02	0.01	0.06	0.09	0.11	0.15	0.23	0.26	0.33	0.37	0.48	0.5	0.69	0.6	0.73
radio	0	0	0	0.01	0	0	0	0.04	0.02	0.02	0.05	0.12	0.12	0.2	0.26	0.24	0.29	0.37	0.5	0.52	0.65	0.57	0.67
tooth	0	0	0	0	0	0.02	0.07	0.16	0.16	0.17	0.32	0.38	0.43	0.41	0.53	0.59	0.7	0.72	0.79	0.81	0.92	0.86	0.9
kick	0	0	0	0	0	0.01	0.02	0.06	0.05	0.08	0.15	0.21	0.2	0.29	0.38	0.47	0.52	0.58	0.66	0.67	0.8	0.77	0.88
heavy									0.03	0.02	0.08	0.16	0.19	0.24	0.35	0.43	0.49	0.55	0.64	0.68	0.81	0.74	0.88
light	0	0.02	0	0.02	0.05	0.07	0.1	0.17	0.25	0.2	0.42	0.44	0.53	0.55	0.69	0.7	0.77	0.79	0.86	0.85	0.94	0.86	0.95
bump	0	0	0	0	0	0.01	0.03	0.12	0.06	0.07	0.13	0.14	0.2	0.18	0.36	0.38	0.41	0.48	0.59	0.51	0.71	0.66	0.76
want cookies / want cookies and milk									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
does your child ever talk about something that's going to happen in the future?									0	0	0	0	0		0	0	0	0	0	0	0	0	0
wented									0	0	0	0	0	0	0	0	0	0.01	0.01	0.02	0.01	0.01	0.02
chicken (food)	0	0	0	0.01	0.01	0.01	0.06	0.11	0.08	0.09	0.24	0.3	0.36	0.45	0.54	0.56	0.64	0.72	0.75	0.82	0.9	0.84	0.91
ate									0	0.01	0.04	0.06	0.05	0.09	0.14	0.12	0.22	0.29	0.4	0.37	0.58	0.36	0.6
doggie table / doggie on table									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dry (action)									0.01	0.03	0.05	0.09	0.14	0.16	0.25	0.29	0.36	0.47	0.51	0.52	0.73	0.65	0.76
butterfly	0	0	0	0	0	0.01	0.02	0.07	0.08	0.1	0.21	0.28	0.31	0.38	0.45	0.54	0.65	0.69	0.72	0.75	0.89	0.81	0.92
donut									0.03	0.05	0.1	0.12	0.15	0.18	0.26	0.36	0.37	0.46	0.53	0.54	0.68	0.62	0.72
pen	0	0	0.01	0.03	0	0.01	0.02	0.12	0.07	0.1	0.19	0.25	0.3	0.4	0.43	0.53	0.55	0.62	0.68	0.69	0.83	0.73	0.86
puzzle									0.03	0.04	0.15	0.21	0.2	0.26	0.38	0.43	0.57	0.62	0.65	0.71	0.85	0.75	0.88
old	0	0	0	0	0	0	0	0.01	0.01	0.02	0.02	0.03	0.03	0.07	0.12	0.17	0.16	0.25	0.34	0.29	0.5	0.43	0.56
leg	0	0	0	0.01	0.01	0.01	0.01	0.08	0.04	0.09	0.18	0.29	0.27	0.39	0.52	0.59	0.65	0.72	0.78	0.79	0.89	0.85	0.95
yes	0.03	0	0	0.06	0.08	0.12	0.19	0.23	0.35	0.42	0.51	0.59	0.72	0.79	0.81	0.84	0.88	0.9	0.92	0.94	0.96	0.97	0.99
no	0.04	0.04	0.06	0.14	0.23	0.3	0.44	0.55	0.64	0.7	0.78	0.83	0.85	0.89	0.91	0.93	0.95	0.93	0.97	0.95	0.98	0.97	1
park	0	0	0	0.01	0.01	0.01	0.01	0.06	0.07	0.13	0.21	0.29	0.32	0.37	0.53	0.55	0.61	0.67	0.76	0.75	0.85	0.81	0.9
paper	0	0	0	0.01	0	0.01	0.01	0.1	0.08	0.11	0.21	0.31	0.32	0.42	0.52	0.62	0.66	0.71	0.78	0.77	0.9	0.86	0.92
pillow	0	0	0	0.02	0	0.01	0.03	0.08	0.09	0.13	0.23	0.33	0.36	0.43	0.53	0.67	0.66	0.73	0.79	0.82	0.92	0.85	0.94
so big!									0.06	0.08	0.14	0.12	0.19	0.23	0.28	0.37	0.4	0.49	0.55	0.49	0.62	0.6	0.67
tickle	0	0	0	0.02	0.02	0.04	0.04	0.1	0.12	0.14	0.27	0.24	0.3	0.3	0.48	0.54	0.6	0.66	0.68	0.7	0.86	0.75	0.86
ice cream	0	0	0	0.01	0.01	0.01	0.03	0.11	0.1	0.14	0.26	0.36	0.39	0.37	0.6	0.65	0.71	0.78	0.87	0.85	0.93	0.9	0.95
cry	0	0	0.01	0.02	0	0.01	0.02	0.07	0.04	0.09	0.14	0.22	0.3	0.36	0.46	0.55	0.61	0.72	0.82	0.76	0.9	0.85	0.94
teeths									0.01	0.02	0.04	0.07	0.06	0.07	0.13	0.07	0.11	0.11	0.18	0.15	0.16	0.13	0.16
tree	0	0.01	0.01	0.03	0.04	0.04	0.08	0.15	0.21	0.25	0.41	0.49	0.55	0.61	0.67	0.79	0.79	0.82	0.85	0.89	0.94	0.88	0.96
